GEOID,location,name,estimate,moe,label,concept,geography
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_011,95,92,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_016,0,12,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_018,0,12,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_019,20,19,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_020,8,14,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_021,249,182,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_001,1318,333,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_002,1197,336,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_003,996,290,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_004,201,148,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_005,164,135,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_006,6,10,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_007,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_008,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_009,31,55,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_010,32,27,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_011,32,27,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_016,0,12,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_018,0,12,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_019,16,31,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_020,0,12,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510101500,Census Tract 1015; St. Louis city; Missouri,B08301_021,73,64,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_001,1298,410,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_002,998,381,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_003,932,352,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_004,66,65,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_005,52,51,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_006,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_007,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_008,14,27,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_009,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_010,97,67,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_011,97,67,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_016,0,12,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_018,0,12,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_019,48,53,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_020,95,94,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510101800,Census Tract 1018; St. Louis city; Missouri,B08301_021,60,69,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_001,1539,278,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_002,1250,260,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_003,1092,186,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_004,158,137,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_005,139,135,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_006,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_007,6,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_008,13,21,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_009,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_010,14,18,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
