"","GEOID","location","name","estimate","moe","label","concept","geography"
"55","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_013",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","MEANS OF TRANSPORTATION TO WORK","block group"
"56","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_014",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","MEANS OF TRANSPORTATION TO WORK","block group"
"57","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_015",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","MEANS OF TRANSPORTATION TO WORK","block group"
"58","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_016",0,12,"Estimate!!Total:!!Taxicab","MEANS OF TRANSPORTATION TO WORK","block group"
"59","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_017",0,12,"Estimate!!Total:!!Motorcycle","MEANS OF TRANSPORTATION TO WORK","block group"
"60","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_018",0,12,"Estimate!!Total:!!Bicycle","MEANS OF TRANSPORTATION TO WORK","block group"
"61","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_019",0,12,"Estimate!!Total:!!Walked","MEANS OF TRANSPORTATION TO WORK","block group"
"62","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_020",0,12,"Estimate!!Total:!!Other means","MEANS OF TRANSPORTATION TO WORK","block group"
"63","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_021",75,51,"Estimate!!Total:!!Worked from home","MEANS OF TRANSPORTATION TO WORK","block group"
"64","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_001",589,243,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK","block group"
"65","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_002",570,241,"Estimate!!Total:!!Car, truck, or van:","MEANS OF TRANSPORTATION TO WORK","block group"
"66","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_003",507,225,"Estimate!!Total:!!Car, truck, or van:!!Drove alone","MEANS OF TRANSPORTATION TO WORK","block group"
"67","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_004",63,57,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:","MEANS OF TRANSPORTATION TO WORK","block group"
"68","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_005",63,57,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"69","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_006",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"70","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"71","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_008",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"72","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_009",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
